code	add	bits	bitsParamSave	bitsSave	descGroupIDs	descGroupNegative	descGroupPositive	descGroupStringAdd	descNegative	descPositive	descStringAdd	descfunc	descpriority	descval	dgrp	dgrpfunc	dgrpval	saveParamBits	stat	mapped_fields	mapping_confidence
62	0	7							Mana stolen per Hit	Mana stolen per Hit		2	143	1					manadrainmindam	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f35;f12_f13_u32;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
64	0	7							Stamina stolen per Hit	Stamina stolen per Hit		2	145	1					stamdrainmindam	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f35;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
66	0	10							Stun Attack	Stun Attack		3	142	0					stunlength	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
67	50	9																	velocitypercent	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
68	50	9																	attackrate	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
71	100	8																	value	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
72	150	9																	durability	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
73	90	9																	maxdurability	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
74	1000	14							Life Regenerated per Second	Life Regenerated per Second		32	80	1					hpregen	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f35;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
75	100	8							Durability	Durability			8	2					item_maxdurability_percent	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
76	100	8			77	Maximum Life and Mana	Maximum Life and Mana		Decrease Maximum Life	Maximum Life		4	78	2	10	4	2		item_maxhp_percent	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
77	100	8			76	Maximum Life and Mana	Maximum Life and Mana		Maximum Mana	Maximum Mana		4	76	2	10	4	2		item_maxmana_percent	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
78	0	10							Attacker Takes Damage of	Attacker Takes Damage of		3	29	2					item_attackertakesdamage	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
79	100	9							Gold Find	Gold Find		2	16	1					item_goldbonus	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f35;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
80	100	9							Magic Find	Magic Find		2	14	1					item_magicbonus	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f35;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
81	0	2							Knockback	Knockback		3	115	0					item_knockback	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
82	20	9																	item_timeduration	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
83	0	4							to Amazon Skill Levels	to Amazon Skill Levels		13	200	1				3	item_addclassskills	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f12_f13_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
85	25	8							to Experience Gained	to Experience Gained		4	17	1					item_addexperience	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f35;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
86	0	10							Life after each Kill	Life after each Kill		1	41	1					item_healafterkill	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f12_f13_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
87	50	8							to All Vendor Prices	to All Vendor Prices		20	13	1					item_reducedprices	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f35;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
88	0	32	16	32														16	achievement_counts	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
89	5	8							to Light Radius	to Light Radius		1	10	1					item_lightradius	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f35;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
90	0	24																	item_lightcolor	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
91	100	10							Requirements	Requirements		4	7	2					item_req_percent	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
92		8							Required Level	Required Level		1	6	1					item_levelreq	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f35;f12_f13_u32;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
93	150	9			99,102,105	Combat Speeds	Combat Speeds		Attack Speed	Attack Speed		2	192	1	9	2	1		item_fasterattackrate	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f35;f12_f13_u32;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=f12;f35;f12_f13_u32;f35_f36_u32;saveParamBits=	0.000
94	64	10							ModitemLevReq	ModitemLevReq		4	76	2					item_levelreqpct	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
96	100	9							Movement Speed	Movement Speed		2	190	1					item_fastermovevelocity	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f35;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
97	1	7										28	127					12	item_nonclassskill	add=f35;f35_f36_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
98		1																11	state	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=f12;f12_f13_u32	0.000
99	100	9			93,102,105	Combat Speeds	Combat Speeds		Hit Recovery	Hit Recovery		2	188	1	9	2	1		item_fastergethitrate	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
101	0	6																	skill_poison_override_length	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
102	100	9			93,99,105	Combat Speeds	Combat Speeds		Block Speed	Block Speed		2	189	1	9	2	1		item_fasterblockrate	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f35;f12_f13_u32;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=f12;f35;f12_f13_u32;f35_f36_u32;saveParamBits=	0.000
103	0	1							Ignores Resistances of Undead	Ignores Resistances of Undead		3	197	0					skill_bypass_undead	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=f12;f35;f12_f13_u32;f35_f36_u32;bitsParamSave=;bitsSave=;descpriority=;descval=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
104	0	1							Ignores Resistances of Demons	Ignores Resistances of Demons		3	197	0					skill_bypass_demons	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=f12;f35;f12_f13_u32;f35_f36_u32;bitsParamSave=;bitsSave=;descpriority=;descval=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
105	100	9			93,99,102	Combat Speeds	Combat Speeds		Cast Speed	Cast Speed		2	191	1	9	2	1		item_fastercastrate	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f35;f12_f13_u32;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=f12;f35;f12_f13_u32;f35_f36_u32;saveParamBits=	0.000
106	0	1							Ignores Resistances of Beasts	Ignores Resistances of Beasts		3	197	0					skill_bypass_beasts	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=f35;f35_f36_u32;bitsParamSave=;bitsSave=;descpriority=;descval=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
107	1	5										27	128					11	item_singleskill	add=f12;f35;f12_f13_u32;f35_f36_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
108	0	1							Slain Monsters Rest in Peace	Slain Monsters Rest in Peace		3	23	0					item_restinpeace	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f39;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;f38_f39_u32;bits=f12;f12_f13_u32;bitsParamSave=;bitsSave=;descpriority=;descval=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f39;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;f38_f39_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
109	100	8							Curse Length Reduction	Curse Length Reduction		2	54	2					curse_resistance	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
110	100	8							Poison Length Reduction	Poison Length Reduction		2	55	2					item_poisonlengthresist	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
111	100	10							Damage	Damage		1	169	2					item_normaldamage	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
112	25	7							Hit Causes Monster to Flee	Hit Causes Monster to Flee		5	119	2					item_howl	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
113	50	8							Hit Blinds Target	Hit Blinds Target		12	120	2					item_stupidity	add=;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
114	0	7							Weapon Damage Taken Restores Mana	Weapon Damage Taken Restores Mana		2	18	1					item_damagetomana	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f12;f35;f12_f13_u32;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
115	0	1							Ignore Target's Defense	Ignore Target's Defense		3	167	0					item_ignoretargetac	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=f12;f12_f13_u32;bitsParamSave=;bitsSave=;descpriority=;descval=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
116	0	7							Target Defense	Target Defense		20	166	1					item_fractionaltargetac	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f13;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f13_f14_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f35;f35_f36_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
117	0	1							Prevent Monster Heal	Prevent Monster Heal		3	121	0					item_preventheal	add=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;bits=;bitsParamSave=;bitsSave=;descpriority=;descval=f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f14;f15;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f36;f37;f38;f1_f2_u32;f2_f3_u32;f3_f4_u32;f4_f5_u32;f5_f6_u32;f6_f7_u32;f7_f8_u32;f8_f9_u32;f9_f10_u32;f10_f11_u32;f14_f15_u32;f24_f25_u32;f25_f26_u32;f26_f27_u32;f27_f28_u32;f28_f29_u32;f29_f30_u32;f30_f31_u32;f31_f32_u32;f32_f33_u32;f33_f34_u32;f36_f37_u32;f37_f38_u32;dgrp=;dgrpfunc=;dgrpval=;saveParamBits=	0.000
