#code	name	spelldescstr	width	height	gentype	stackable	rlvl	rstr	rdex	1h2h	2h	1hMinDmg	1hMaxDmg	2hMinDmg	2hMaxDmg	throwMinDmg	throwMaxDmg	image	quest	strBonus	dexBonus	type	sockettype	class
w16	Fanged Helm (1)		2	1	0		0	0	0													phlm,tier		
w17	Horned Helm (1)		2	1	0		0	0	0													phlm,tier		
w18	Assault Helmet (1)		2	1	0		0	0	0													phlm,tier		
w19	Avenger Guard (1)		2	1	0		0	0	0													phlm,tier		
w20	Targe (1)		2	1	0		0	13	1													ashd,tier	0	
w21	Rondache (1)		2	1	0		0	20	1													ashd,tier	0	
w22	Heraldic Shield (1)		4	1	0		0	0	1													ashd,tier	0	
w23	Aerin Shield (1)		4	1	0		0	0	1													ashd,tier	0	
w24	Crown Shield (1)		2	1	0		0	43	1													ashd,tier	0	
w25	Preserved Head (1)		2	1	0		0	11	1													head,tier	0	
w26	Zombie Head (1)		2	1	0		0	17	1													head,tier	0	
w27	Unraveller Head (1)		2	1	0		0	24	1													head,tier	0	
w28	Gargoyle Head (1)		2	1	0		0	30	1													head,tier	0	
w29	Demon Head (1)		2	1	0		0	36	1													head,tier	0	
w50	Wolf Head (2)		2	1	0		0	0	0													pelt,tier		
w51	Hawk Helm (2)		2	1	0		0	0	0													pelt,tier		
w52	Antlers (2)		2	1	0		0	0	0													pelt,tier		
w53	Falcon Mask (2)		2	1	0		0	0	0													pelt,tier		
w54	Spirit Mask (2)		2	1	0		0	0	0													pelt,tier		
w55	Jawbone Cap (2)		2	1	0		0	0	0													phlm,tier		
w56	Fanged Helm (2)		2	1	0		0	0	0													phlm,tier		
w57	Horned Helm (2)		2	1	0		0	0	0													phlm,tier		
w58	Assault Helmet (2)		2	1	0		0	0	0													phlm,tier		
w59	Avenger Guard (2)		2	1	0		0	0	0													phlm,tier		
w60	Targe (2)		2	1	0		0	19	1													ashd,tier	0	
w61	Rondache (2)		2	1	0		0	30	1													ashd,tier	0	
w62	Heraldic Shield (2)		4	1	0		0	0	1													ashd,tier	0	
w63	Aerin Shield (2)		4	1	0		0	0	1													ashd,tier	0	
w64	Crown Shield (2)		2	1	0		0	64	1													ashd,tier	0	
w65	Preserved Head (2)		2	1	0		0	16	1													head,tier	0	
w66	Zombie Head (2)		2	1	0		0	25	1													head,tier	0	
w67	Unraveller Head (2)		2	1	0		0	35	1													head,tier	0	
w68	Gargoyle Head (2)		2	1	0		0	45	1													head,tier	0	
w69	Demon Head (2)		2	1	0		0	54	1													head,tier	0	
w90	Wolf Head (3)		2	1	0		0	0	0													pelt,tier		
w91	Hawk Helm (3)		2	1	0		0	0	0													pelt,tier		
w92	Antlers (3)		2	1	0		0	0	0													pelt,tier		
w93	Falcon Mask (3)		2	1	0		0	0	0													pelt,tier		
w94	Spirit Mask (3)		2	1	0		0	0	0													pelt,tier		
w95	Jawbone Cap (3)		2	1	0		0	0	0													phlm,tier		
w96	Fanged Helm (3)		2	1	0		0	0	0													phlm,tier		
w97	Horned Helm (3)		2	1	0		0	0	0													phlm,tier		
w98	Assault Helmet (3)		2	1	0		0	0	0													phlm,tier		
w99	Avenger Guard (3)		2	1	0		0	0	0													phlm,tier		
!01	Naginata (1)		4	0	1		0	58	100	1	11			12						15	0	nagi,tier	1	
!03	Naginata (2)		4	0	1		0	95	100	1	34			35						15	0	nagi,tier	1	
!05	Naginata (3)		4	0	1		0	192	100	1	78			79						15	0	nagi,tier	1	
!06	Naginata (4)		4	0	1		0	382	100	1	94			96						15	0	nagi,tier	1	
!07	Naginata (Sacred)		4	0	1		0	558	100	1	101			120						15	0	snag	1	
!08	Raptor Scythe (1)		4	0	1		0	0	80	1	3			6						0	0	nscy,tier	1	
!1!	Warp Blade (2)		3	0	1		0	71	140			21								13	0	scrd,tier	1	
!10	Raptor Scythe (2)		4	0	1		0	0	80	1	8			11						0	19	nscy,tier	1	
!12	Raptor Scythe (3)		4	0	1		0	0	80	1	20			26						0	54	nscy,tier	1	
!13	Raptor Scythe (4)		4	0	1		0	0	80	1	25			32						0	114	nscy,tier	1	
!14	Raptor Scythe (Sacred)		4	0	1		0	0	80	1	77			80						0	414	snsy	1	
!15	Bonesplitter (1)		4	0	1		0	0	120	1	2			12						0	53	nscy,tier	1	
!17	Bonesplitter (2)		4	0	1		0	0	120	1	8			28						0	87	nscy,tier	1	
!19	Bonesplitter (3)		4	0	1		0	0	120	1	19			59						0	176	nscy,tier	1	
!20	Bonesplitter (4)		4	0	1		0	0	120	1	23			70						0	350	nscy,tier	1	
!21	Bonesplitter (Sacred)		4	0	1		0	0	120	1	82			84						0	512	snsy	1	
!22	Mammen Axe (1)		3	0	1		0	0	70			4								0	0	baxe,tier	1	
!24	Mammen Axe (2)		3	0	1		0	0	70			9								0	21	baxe,tier	1	
!26	Mammen Axe (3)		3	0	1		0	0	70			20								0	59	baxe,tier	1	
!27	Mammen Axe (4)		3	0	1		0	0	70			23								0	124	baxe,tier	1	
!28	Mammen Axe (Sacred)		3	0	1		0	0	70			47								0	452	sbax	1	
!3!	Warp Blade (3)		3	0	1		0	140	140			44								13	0	scrd,tier	1	
!30	Hammerhead Axe (2)		3	0	1		0	0	85			20								0	137	baxe,tier	1	
!32	Hammerhead Axe (3)		3	0	1		0	0	85			41								0	268	baxe,tier	1	
!33	Hammerhead Axe (4)		3	0	1		0	0	85			49								0	529	baxe,tier	1	
!34	Hammerhead Axe (Sacred)		3	0	1		0	0	85			55								0	630	sbax	1	
!35	Ono (1)		3	0	1		0	0	70	1	5			7						0	21	2hbx,tier	1	
!37	Ono (2)		3	0	1		0	0	70	1	12			14						0	47	2hbx,tier	1	
!39	Ono (3)		3	0	1		0	0	70	1	28			34						0	106	2hbx,tier	1	
!4!	Warp Blade (4)		3	0	1		0	277	140			53								13	0	scrd,tier	1	
!40	Ono (4)		3	0	1		0	0	70	1	35			40						0	216	2hbx,tier	1	
!41	Ono (Sacred)		3	0	1		0	0	70	1	80			83						0	489	s2hx	1	
!42	Valaska (1)		3	0	1		0	0	91	1	11			16						0	89	2hbx,tier	1	
!44	Valaska (2)		3	0	1		0	0	91	1	28			37						0	132	2hbx,tier	1	
!46	Valaska (3)		3	0	1		0	0	91	1	59			77						0	258	2hbx,tier	1	
!47	Valaska (4)		3	0	1		0	0	91	1	71			91						0	509	2hbx,tier	1	
!48	Valaska (Sacred)		3	0	1		0	0	91	1	101			106						0	616	s2hx	1	
!49	Labrys (1)		4	0	1		0	0	101	1	14			17						0	127	2hbx,tier	1	
!5!	Warp Blade (Sacred)		3	0	1		0	400	140			86								13	0	sscd	1	
!51	Labrys (2)		4	0	1		0	0	101	1	35			38						0	183	2hbx,tier	1	
!53	Labrys (3)		4	0	1		0	0	101	1	74			79						0	354	2hbx,tier	1	
!54	Labrys (4)		4	0	1		0	0	101	1	80			99						0	696	2hbx,tier	1	
!55	Labrys (Sacred)		4	0	1		0	0	101	1	107			109						0	796	s2hx	1	
!56	Flamen Staff (1)		4	0	1		0	0	77	1	4			5						0	18	dstf,tier	1	
!58	Flamen Staff (2)		4	0	1		0	0	77	1	10			13						0	32	dstf,tier	1	
!60	Flamen Staff (3)		4	0	1		0	0	77	1	22			27						0	69	dstf,tier	1	
!61	Flamen Staff (4)		4	0	1		0	0	77	1	27			33						0	138	dstf,tier	1	
!62	Flamen Staff (Sacred)		4	0	1		0	0	77	1	48			51						0	240	sdst	1	
!63	Marrow Staff (1)		4	0	1		0	0	106	1	5			7						0	37	nstf,tier	1	
!65	Marrow Staff (2)		4	0	1		0	0	106	1	12			16						0	56	nstf,tier	1	
!67	Marrow Staff (3)		4	0	1		0	0	106	1	25			32						0	112	nstf,tier	1	
!68	Marrow Staff (4)		4	0	1		0	0	106	1	29			38						0	222	nstf,tier	1	
!69	Marrow Staff (Sacred)		4	0	1		0	0	106	1	45			49						0	275	snst	1	
!70	Hexblade (1)		3	0	1		0	27	60			4								13	0	nknf,tier	1	
!72	Hexblade (2)		3	0	1		0	53	60			9								13	0	nknf,tier	1	
!74	Hexblade (3)		3	0	1		0	114	60			20								13	0	nknf,tier	1	
!75	Hexblade (4)		3	0	1		0	233	60			24								13	0	nknf,tier	1	
!76	Hexblade (Sacred)		3	0	1		0	463	60			49								13	0	snkf	1	
!77	Spirit Edge (1)		3	0	1		0	67	60			5								13	0	nknf,tier	1	
!79	Spirit Edge (2)		3	0	1		0	104	60			14								13	0	nknf,tier	1	
!81	Spirit Edge (3)		3	0	1		0	207	60			29								13	0	nknf,tier	1	
!82	Spirit Edge (4)		3	0	1		0	410	60			34								13	0	nknf,tier	1	
!83	Spirit Edge (Sacred)		3	0	1		0	537	60			57								13	0	snkf	1	
!84	Holy Lance (1)		4	0	1		0	0	100	1	3			7						0	34	pspe,tier	1	
!86	Holy Lance (2)		4	0	1		0	0	100	1	8			20						0	64	pspe,tier	1	
!88	Holy Lance (3)		4	0	1		0	0	100	1	18			44						0	137	pspe,tier	1	
!89	Holy Lance (4)		4	0	1		0	0	100	1	22			53						0	276	pspe,tier	1	
!90	Holy Lance (Sacred)		4	0	1		0	0	100	1	49			85						0	514	spsp	1	
!91	Tepoztopilli (1)		4	0	1		0	0	96	1	5			11						0	112	pspe,tier	1	
!93	Tepoztopilli (2)		4	0	1		0	0	96	1	14			26						0	165	pspe,tier	1	
!95	Tepoztopilli (3)		4	0	1		0	0	96	1	32			54						0	325	pspe,tier	1	
!96	Tepoztopilli (4)		4	0	1		0	0	96	1	34			74						0	641	pspe,tier	1	
!97	Tepoztopilli (Sacred)		4	0	1		0	0	96	1	68			75						0	733	spsp	1	
!98	Warp Blade (1)		3	0	1		0	47	140			8								13	0	scrd,tier	1	
01@	Short Sword (Sacred)		3	0	1		0	0	50			38								0	376	qswd	1	
02@	Scimitar (Sacred)		3	0	1		0	0	75			40								0	421	qswd	1	
03@	Saber (Sacred)		3	0	1		0	0	70			42								0	443	qswd	1	
04@	Falchion (Sacred)		3	0	1		0	0	80			44								0	466	qswd	1	
05@	Broad Sword (Sacred)		3	0	1		0	0	90			46								0	488	qswd	1	
06@	Long Sword (Sacred)		3	0	1		0	0	86			48								0	540	qswd	1	
07@	War Sword (Sacred)		3	0	1		0	0	100			50								0	581	qswd	1	
08@	Two-Handed Sword (Sacred)		4	0	1		0	0	80	1	55	39	1	56						0	421	s2hd	1	
09@	Claymore (Sacred)		4	0	1		0	0	80	1	60	41	1	61						0	450	s2hd	1	
100	Short Sword (1)		3	0	1		0	0	50			4								0	0	swor,tier	1	
101	Scimitar (1)		3	0	1		0	0	75			4								0	25	swor,tier	1	
102	Saber (1)		3	0	1		0	0	70			5								0	37	swor,tier	1	
103	Falchion (1)		3	0	1		0	0	80			5								0	49	swor,tier	1	
104	Broad Sword (1)		3	0	1		0	0	90			7								0	61	swor,tier	1	
105	Long Sword (1)		3	0	1		0	0	86			7								0	73	swor,tier	1	
106	War Sword (1)		3	0	1		0	0	100			8								0	85	swor,tier	1	
107	Two-Handed Sword (1)		4	0	1		0	0	80	1	3	4	1	6						0	25	2hsd,tier	1	
108	Claymore (1)		4	0	1		0	0	80	1	5	4	1	6						0	41	2hsd,tier	1	
109	Giant Sword (1)		4	0	1		0	0	90	1	7	5	1	8						0	57	2hsd,tier	1	
10@	Giant Sword (Sacred)		4	0	1		0	0	90	1	65	45	1	67						0	480	s2hd	1	
110	Bastard Sword (1)		4	0	1		0	0	90	1	9	7	1	10						0	73	2hsd,tier	1	
111	Flamberge (1)		4	0	1		0	0	100	1	11	8	1	13						0	89	2hsd,tier	1	
112	Great Sword (1)		4	0	1		0	0	98	1	13	9	1	14						0	105	2hsd,tier	1	
113	Crystal Sword (1)		3	0	1		0	73	80											0	0	crsd,el1x	1	
114	Hand Axe (1)		3	0	1		0	0	50			4								0	0	axe,tier	1	
115	Axe (1)		3	0	1		0	0	70			5								0	31	axe,tier	1	
116	Double Axe (1)		3	0	1		0	0	90			7								0	49	axe,tier	1	
117	Military Pick (1)		3	0	1		0	0	90			8								0	67	axe,tier	1	
118	War Axe (1)		3	0	1		0	0	100			10								0	85	axe,tier	1	
119	Large Axe (1)		3	0	1		0	0	70	1	4			5						0	18	2hax,tier	1	
11@	Bastard Sword (Sacred)		4	0	1		0	0	90	1	70	47	1	72						0	535	s2hd	1	
120	Broad Axe (1)		3	0	1		0	0	80	1	6			8						0	39	2hax,tier	1	
121	Battle Axe (1)		3	0	1		0	0	90	1										0	60	2hax,el2x	1	
122	Great Axe (1)		4	0	1		0	0	90	1	10			14						0	81	2hax,tier	1	
123	Giant Axe (1)		3	0	1		0	0	110	1	12			17						0	102	2hax,tier	1	
124	Club (1)		3	0	1		0	0	40			4								0	0	mace,tier	1	
125	Spiked Club (1)		3	0	1		0	0	60			5								0	24	mace,tier	1	
126	Mace (1)		3	0	1		0	0	80			6								0	36	mace,tier	1	
127	Morning Star (1)		3	0	1		0	0	90			8								0	48	mace,tier	1	
128	Flail (1)		3	0	1		0	0	90			9								0	60	mace,tier	1	
129	Scepter (1)		3	0	1		0	16	60			3								11	0	scep,tier	1	
12@	Flamberge (Sacred)		4	0	1		0	0	100	1	75	50	1	77						0	600	s2hd	1	
130	Grand Scepter (1)		3	0	1		0	40	60			5								11	0	scep,tier	1	
131	War Scepter (1)		3	0	1		0	64	100			8								11	0	scep,tier	1	
132	Javelin (1)		3	1	1	30	0	0	32			4			1	4				11	0	jave,tier	1	
133	Pilum (1)		3	1	1	30	0	29	56			5			2	5				11	0	jave,tier	1	
134	Short Spear (1)		3	1	1	30	0	47	80			6			4	8				11	0	jave,tier	1	
135	Glaive (1)		4	1	1	30	0	65	104			8			5	11				11	0	jave,tier	1	
136	Throwing Spear (1)		4	1	1	30	0	83	126			9			6	13				11	0	jave,tier	1	
137	Spear (1)		4	0	1		0	0	60	1	3			6						15	0	spea,tier	1	
138	Trident (1)		4	0	1		0	29	90	1	3			6						15	18	spea,tier	1	
139	Brandistock (1)		4	0	1		0	46	100	1	4			8						15	30	spea,tier	1	
13@	Great Sword (Sacred)		4	0	1		0	0	98	1	79	52	1	81						0	670	s2hd	1	
140	Spetum (1)		4	0	1		0	63	96	1	4			11						15	42	spea,tier	1	
141	Pike (1)		4	0	1		0	80	120	1	5			13						15	54	spea,tier	1	
142	Dagger (1)		2	0	1		0	0	40			3								11	0	knif,tier	1	
143	Dirk (1)		2	0	1		0	25	50			3								11	0	knif,tier	1	
144	Kriss (1)		3	0	1		0	43	50			4								11	0	knif,tier	1	
145	Blade (1)		3	0	1		0	61	50			4								11	0	knif,tier	1	
146	Throwing Knife (1)		2	1	1	40	0	15	8			4			1	4				11	0	tkni,tier	1	
147	Flying Knife (1)		2	1	1	16	0	53	12			4			3	4				11	0	tkni,tier	1	
148	Balanced Knife (1)		2	1	1	30	0	91	16			5			6	7				11	0	tkni,tier	1	
149	Throwing Axe (1)		2	1	1	16	0	0	12											0	15	taxe,elrx	1	
14@	Crystal Sword (Sacred)		3	0	1		0	510	80			0								0	0	qcrs,el1x	1	
150	Balanced Axe (1)		3	1	1	16	0	0	20			7			2	11				0	77	taxe,tier	1	
151	Short Staff (1)		3	0	1		0	0	40	1	2			3						6	0	staf,tier	1	
152	Long Staff (1)		4	0	1		0	8	46	1	4			5						6	0	staf,tier	1	
153	Gnarled Staff (1)		4	0	1		0	17	70	1	5			6						6	0	staf,tier	1	
154	Battle Staff (1)		4	0	1		0	25	94	1	5			8						6	0	staf,tier	1	
155	War Staff (1)		4	0	1		0	34	118	1	7			9						6	0	staf,tier	1	
156	Bardiche (1)		4	0	1		0	1	26	1	2			6						0	17	pole,tier	1	
157	Voulge (1)		4	0	1		0	5	50	1	2			7						0	33	pole,tier	1	
158	Scythe (1)		4	0	1		0	49	90	1	2			11						15	49	scyh,tier	1	
159	Halberd (1)		4	0	1		0	46	132	1	8			10						15	0	nagi,tier	1	
15@	Hand Axe (Sacred)		3	0	1		0	0	50			39								0	376	qaxe	1	
160	Short Bow (1)		3	0	1		0	15	0	1	2			3						11	0	bow,tier	1	
161	Hunter's Bow (1)		3	0	1		0	27	0	1	2			3						11	0	bow,tier	1	
162	Long Bow (1)		4	0	1		0	39	0	1	3			4						11	0	bow,tier	1	
163	Composite Bow (1)		3	0	1		0	51	0	1	4			6						11	0	bow,tier	1	
164	Short Battle Bow (1)		3	0	1		0	63	0	1										0	0	bow,elrx	1	
165	Long Battle Bow (1)		4	0	1		0	75	0	1	6			9						11	0	bow,tier	1	
166	Short War Bow (1)		3	0	1		0	87	0	1	7			11						11	0	bow,tier	1	
167	Long War Bow (1)		4	0	1		0	99	0	1	8			12						11	0	bow,tier	1	
16@	Axe (Sacred)		3	0	1		0	0	70			43								0	432	qaxe	1	
17@	Double Axe (Sacred)		3	0	1		0	0	90			47								0	466	qaxe	1	
18@	Military Pick (Sacred)		3	0	1		0	0	90			52								0	500	qaxe	1	
19@	Hammerhead Axe (1)		3	0	1		0	0	85			9								0	93	baxe,tier	1	
1@1	Compound Bow (1)		3	0	1		0	57	0	1	4			7						19	0	dbow,tier	1	
1@2	Serpent Bow (2)		4	0	1		0	109	0	1	17			22						19	0	dbow,tier	1	
1@3	Maple Bow (3)		3	0	1		0	249	0	1	0			0						0	0	dbow,elrx	1	
1@4	Viper Bow (Sacred)		3	0	1		0	660	0	1	77			83						19	0	sdbw	1	
1@7	Ida (4)		3	0	1		0	0	108			40								0	421	bswd,tier	1	
1@8	Kriegsmesser (1)		3	0	1		0	0	126			9								0	96	bswd,tier	1	
1@9	Bonebreaker (2)		3	0	1		0	0	80			12								0	61	pclb,tier	1	
1@@	War Axe (Sacred)		3	0	1		0	0	100			56								0	581	qaxe	1	
1@A	Goedendag (3)		3	0	1		0	0	90			32								0	169	pmac,tier	1	
1@B	Angel Star (Sacred)		3	0	1		0	0	90			58								0	602	spmc	1	
1@E	Dart Thrower (4)		3	0	1		0	0	0	1	58			70						0	280	nxbw,tier	1	
1@F	Trebuchet (1)		3	0	1		0	0	0	1	11			16						0	72	nxbw,tier	1	
20@	Large Axe (Sacred)		3	0	1		0	0	70	1	65			67						0	408	s2ha	1	
21@	Broad Axe (Sacred)		3	0	1		0	0	80	1	71			75						0	447	s2ha	1	
22@	Battle Axe (Sacred)		3	0	1		0	0	90	1	0			0						0	486	s2ha,el2x	1	
236	Short Sword (2)		3	0	1		0	0	50			7								0	18	swor,tier	1	
237	Scimitar (2)		3	0	1		0	0	75			9								0	48	swor,tier	1	
238	Saber (2)		3	0	1		0	0	70			11								0	64	swor,tier	1	
239	Falchion (2)		3	0	1		0	0	80			13								0	79	swor,tier	1	
23@	Great Axe (Sacred)		4	0	1		0	0	90	1	82			91						0	600	s2ha	1	
240	Broad Sword (2)		3	0	1		0	0	90			14								0	95	swor,tier	1	
241	Long Sword (2)		3	0	1		0	0	86			16								0	110	swor,tier	1	
242	War Sword (2)		3	0	1		0	0	100			17								0	125	swor,tier	1	
243	Two-Handed Sword (2)		4	0	1		0	0	80	1	9	8	1	10						0	48	2hsd,tier	1	
244	Claymore (2)		4	0	1		0	0	80	1	13	10	1	14						0	69	2hsd,tier	1	
245	Giant Sword (2)		4	0	1		0	0	90	1	18	13	1	20						0	89	2hsd,tier	1	
246	Bastard Sword (2)		4	0	1		0	0	90	1	23	15	1	24						0	110	2hsd,tier	1	
247	Flamberge (2)		4	0	1		0	0	100	1	27	17	1	29						0	130	2hsd,tier	1	
248	Great Sword (2)		4	0	1		0	0	98	1	30	20	1	32						0	151	2hsd,tier	1	
249	Crystal Sword (2)		3	0	1		0	110	80			0								0	0	crsd,el1x	1	
24@	Giant Axe (Sacred)		3	0	1		0	0	110	1	83			101						0	685	s2ha	1	
250	Hand Axe (2)		3	0	1		0	0	50			8								0	18	axe,tier	1	
251	Axe (2)		3	0	1		0	0	70			11								0	56	axe,tier	1	
252	Double Axe (2)		3	0	1		0	0	90			15								0	79	axe,tier	1	
253	Military Pick (2)		3	0	1		0	0	90			19								0	102	axe,tier	1	
254	War Axe (2)		3	0	1		0	0	100			22								0	125	axe,tier	1	
255	Large Axe (2)		3	0	1		0	0	70	1	11			12						0	39	2hax,tier	1	
256	Broad Axe (2)		3	0	1		0	0	80	1	15			19						0	67	2hax,tier	1	
257	Battle Axe (2)		3	0	1		0	0	90	1	0			0						0	93	2hax,el2x	1	
258	Great Axe (2)		4	0	1		0	0	90	1	26			33						0	120	2hax,tier	1	
259	Giant Axe (2)		3	0	1		0	0	110	1	29			38						0	146	2hax,tier	1	
25@	Club (Sacred)		3	0	1		0	0	40			42								0	376	qmac	1	
260	Club (2)		3	0	1		0	0	40			8								0	18	mace,tier	1	
261	Spiked Club (2)		3	0	1		0	0	60			11								0	47	mace,tier	1	
262	Mace (2)		3	0	1		0	0	80			14								0	62	mace,tier	1	
263	Morning Star (2)		3	0	1		0	0	90			17								0	78	mace,tier	1	
264	Flail (2)		3	0	1		0	0	90			20								0	93	mace,tier	1	
265	Scepter (2)		3	0	1		0	37	60			7								11	0	scep,tier	1	
266	Grand Scepter (2)		3	0	1		0	67	60			12								11	0	scep,tier	1	
267	War Scepter (2)		3	0	1		0	98	100			17								11	0	scep,tier	1	
268	Javelin (2)		3	1	1	30	0	18	32			8			7	10				11	0	jave,tier	1	
269	Pilum (2)		3	1	1	30	0	53	56			11			10	15				11	0	jave,tier	1	
26@	Spiked Club (Sacred)		3	0	1		0	0	60			46								0	419	qmac	1	
270	Short Spear (2)		3	1	1	30	0	76	80			14			12	22				11	0	jave,tier	1	
271	Glaive (2)		4	1	1	30	0	99	104			17			15	28				11	0	jave,tier	1	
272	Throwing Spear (2)		4	1	1	30	0	123	126			19			17	32				11	0	jave,tier	1	
273	Spear (2)		4	0	1		0	18	60	1	8			11						15	18	spea,tier	1	
274	Trident (2)		4	0	1		0	53	90	1	9			16						15	39	spea,tier	1	
275	Brandistock (2)		4	0	1		0	75	100	1	10			20						15	55	spea,tier	1	
276	Spetum (2)		4	0	1		0	97	96	1	11			26						15	70	spea,tier	1	
277	Pike (2)		4	0	1		0	118	120	1	11			29						15	85	spea,tier	1	
278	Dagger (2)		2	0	1		0	18	40			7								11	0	knif,tier	1	
279	Dirk (2)		2	0	1		0	48	50			8								11	0	knif,tier	1	
27@	Mace (Sacred)		3	0	1		0	0	80			50								0	442	qmac	1	
280	Kriss (2)		3	0	1		0	71	50			9								11	0	knif,tier	1	
281	Blade (2)		3	0	1		0	95	50			11								11	0	knif,tier	1	
282	Throwing Knife (2)		2	1	1	40	0	36	8			6			7	8				11	0	tkni,tier	1	
283	Flying Knife (2)		2	1	1	16	0	84	12			9			12	14				11	0	tkni,tier	1	
284	Balanced Knife (2)		2	1	1	30	0	132	16			12			17	20				11	0	tkni,tier	1	
285	Throwing Axe (2)		2	1	1	16	0	0	12			0			0	0				0	36	taxe,elrx	1	
286	Balanced Axe (2)		3	1	1	16	0	0	20			16			9	28				0	115	taxe,tier	1	
287	Short Staff (2)		3	0	1		0	8	40	1	8			9						6	0	staf,tier	1	
288	Long Staff (2)		4	0	1		0	19	46	1	10			12						6	0	staf,tier	1	
289	Gnarled Staff (2)		4	0	1		0	29	70	1	12			15						6	0	staf,tier	1	
28@	Morning Star (Sacred)		3	0	1		0	0	90			53								0	464	qmac	1	
290	Battle Staff (2)		4	0	1		0	41	94	1	14			19						6	0	staf,tier	1	
291	War Staff (2)		4	0	1		0	51	118	1	16			21						6	0	staf,tier	1	
292	Bardiche (2)		4	0	1		0	19	26	1	8			10						0	38	pole,tier	1	
293	Voulge (2)		4	0	1		0	25	50	1	8			17						0	59	pole,tier	1	
294	Scythe (2)		4	0	1		0	79	90	1	8			25						15	79	scyh,tier	1	
295	Halberd (2)		4	0	1		0	76	132	1	24			30						15	0	nagi,tier	1	
296	Short Bow (2)		3	0	1		0	36	0	1	5			7						11	0	bow,tier	1	
297	Hunter's Bow (2)		3	0	1		0	51	0	1	8			10						11	0	bow,tier	1	
298	Long Bow (2)		4	0	1		0	67	0	1	10			14						11	0	bow,tier	1	
299	Composite Bow (2)		3	0	1		0	81	0	1	12			17						11	0	bow,tier	1	
29@	Flail (Sacred)		3	0	1		0	0	90			56								0	486	qmac	1	
2@3	Maple Bow (4)		3	0	1		0	492	0	1	0			0						0	0	dbow,elrx	1	
2@4	Recurve Bow (1)		3	0	1		0	111	0	1	8			13						19	0	dbow,tier	1	
2@5	Spatha (2)		3	0	1		0	0	90			12								0	71	bswd,tier	1	
2@6	Backsword (3)		3	0	1		0	0	100			29								0	181	bswd,tier	1	
2@7	Ida (Sacred)		3	0	1		0	0	108			53								0	552	sbsd	1	
2@A	Goedendag (4)		3	0	1		0	0	90			39								0	339	pmac,tier	1	
2@C	Hand of God (2)		3	0	1		0	0	151	1	27			32						0	109	pham,tier	1	
2@D	Needle Crossbow (3)		3	0	1		0	0	0	1	40			46						0	100	nxbw,tier	1	
2@E	Dart Thrower (Sacred)		3	0	1		0	0	0	1	85			86						0	395	snxb	1	
300	Short Battle Bow (2)		3	0	1		0	97	0	1	0			0						0	0	bow,elrx	1	
301	Long Battle Bow (2)		4	0	1		0	112	0	1	17			24						11	0	bow,tier	1	
302	Short War Bow (2)		3	0	1		0	127	0	1	19			27						11	0	bow,tier	1	
303	Long War Bow (2)		4	0	1		0	143	0	1	20			29						11	0	bow,tier	1	
30@	Scepter (Sacred)		3	0	1		0	404	60			28								11	0	qscp	1	
31@	Grand Scepter (Sacred)		3	0	1		0	449	60			38								11	0	qscp	1	
32@	War Scepter (Sacred)		3	0	1		0	494	100			52								11	0	qscp	1	
33@	Javelin (Sacred)		3	1	1	30	0	376	32			44			63	66				11	0	qjvn	1	
34@	Pilum (Sacred)		3	1	1	30	0	428	56			47			66	73				11	0	qjvn	1	
35@	Short Spear (Sacred)		3	1	1	30	0	462	80			50			69	80				11	0	qjvn	1	
36@	Glaive (Sacred)		4	1	1	30	0	496	104			54			72	86				11	0	qjvn	1	
372	Short Sword (3)		3	0	1		0	0	50			15								0	49	swor,tier	1	
373	Scimitar (3)		3	0	1		0	0	75			19								0	104	swor,tier	1	
374	Saber (3)		3	0	1		0	0	70			23								0	132	swor,tier	1	
375	Falchion (3)		3	0	1		0	0	80			26								0	160	swor,tier	1	
376	Broad Sword (3)		3	0	1		0	0	90			29								0	188	swor,tier	1	
377	Long Sword (3)		3	0	1		0	0	86			33								0	216	swor,tier	1	
378	War Sword (3)		3	0	1		0	0	100			35								0	244	swor,tier	1	
379	Two-Handed Sword (3)		4	0	1		0	0	80	1	21	16	1	22						0	104	2hsd,tier	1	
37@	Throwing Spear (Sacred)		4	1	1	30	0	530	126			56			74	94				11	0	qjvn	1	
380	Claymore (3)		4	0	1		0	0	80	1	29	21	1	32						0	142	2hsd,tier	1	
381	Giant Sword (3)		4	0	1		0	0	90	1	38	26	1	40						0	179	2hsd,tier	1	
382	Bastard Sword (3)		4	0	1		0	0	90	1	46	31	1	49						0	216	2hsd,tier	1	
383	Flamberge (3)		4	0	1		0	0	100	1	55	36	1	58						0	253	2hsd,tier	1	
384	Great Sword (3)		4	0	1		0	0	98	1	61	39	1	65						0	291	2hsd,tier	1	
385	Crystal Sword (3)		3	0	1		0	216	80			0								0	0	crsd,el1x	1	
386	Hand Axe (3)		3	0	1		0	0	50			16								0	49	axe,tier	1	
387	Axe (3)		3	0	1		0	0	70			24								0	118	axe,tier	1	
388	Double Axe (3)		3	0	1		0	0	90			31								0	160	axe,tier	1	
389	Military Pick (3)		3	0	1		0	0	90			39								0	202	axe,tier	1	
38@	Spear (Sacred)		4	0	1		0	376	60	1	53			57						15	376	qspe	1	
390	War Axe (3)		3	0	1		0	0	100			45								0	244	axe,tier	1	
391	Large Axe (3)		3	0	1		0	0	70	1	24			28						0	88	2hax,tier	1	
392	Broad Axe (3)		3	0	1		0	0	80	1	34			41						0	137	2hax,tier	1	
